"","team_id","name","tag"
"1171",1633355,"New Star Com","NSC"
"1172",2873011,"Laughing Child","LCD"
"1173",1384095,"NoProblem.kr","NP"
"1174",3476282,"Juggernaut Gaming","JG"
"1175",2972493,"No More Heros","NMH"
"1176",1703527,"RIP THE DREAM","RTD"
"1177",2030313,"Aether Gaming-","AtG"
"1178",2189564,"BCS.PillowTalk","BCS.Ptalk"
"1179",2846632,"Uni5ive","U5"
"1180",3891406,"Xtremus Prime","XP"
"1181",1493301,"NERDZONE","NERD"
"1182",3739636,"THE LAST SPARTANS.","TLS"
"1183",1727267,"Frostic","SEA[G]"
"1184",1595874,"APETACO","APETACO"
"1185",3586106,"NFG Esports","NFG"
"1186",2679744,"Intelligence Quotient xD","IQ"
"1187",2635099,"cdec.y",""
"1188",1679057,"Keng And Our Friends","KAOF"
"1189",1237627,"W.R.E.","WRE"
"1190",3333461,"ONO Gamming","ONG"
"1191",3783058,"Your Ex Boyfriend",""
"1192",999689,"Titan","Titan"
"1193",2796882,"PHP","PHP"
"1194",3327766,"team faadu","FAADU"
"1195",429126,"Fnatic North America","FnaticNA"
"1196",1387916,"MagnetoGaming","Magneto"
"1197",2643401,"CDEC.Avengers","CDEC.A"
"1198",2931505,"TEAM DOGE","DOGE"
"1199",1839396,"Moscow Five RUS","M5"
"1200",2928666,"Alfa Gaming","AG"
"1201",3550644,"CZ",""
"1202",1319202,"High|Hopes","H|H"
"1203",758797,"MONKEY FREEDOM FIGHTERS","MFF"
"1204",1364927,"Dream - Gamin","DG"
"1205",3340589,"White Wolf",""
"1206",715818,"All 5tar TeaM","A5T"
"1207",2596399,"ThunBlom","TB"
"1208",1179213,"Metamorph.","Metamorph"
"1209",1642833,"micigaming","MG"
"1210",2923534,"NO POTM GAMING","NO POTM GA"
"1211",1087145,"Osliki Gaming","OsG"
"1212",1009838,"Medan Wolves","SPECTER"
"1213",2775977,"Ago-GAMING","Ago"
"1214",2470246,"Bac Gaming","BAC"
"1215",2913028,"Seven Lan Center ","SLC"
"1216",3619395,"Princes of Persia","PoP"
"1217",3152366,"Kite Gaming","Kite"
"1218",3155028,"dota 2 imba",""
"1219",1461893,"TEAM Let'sGo","Let'sGo"
"1220",1700407,"Clan 14","c14"
"1221",2902802,"Freaks","FK"
"1222",1789906,"#SWAGHANIM'S SCEPTER","SWAG"
"1223",1590983,"Click and Search","CAS"
"1224",3350653,"Veni Vidi Vici",""
